Original Size;After White Spaces;After Numbers;After URLs;After Punctuation;After Javascript;After HTML
1780;1703;1675;1675;1635;1635;1585
23756;23121;22894;22846;22582;22582;19839
2397;2313;2282;2191;2164;2164;2118
6475;6305;6248;5936;5817;5817;5792
1457;1399;1374;1352;1330;1330;1282
1786;1666;1643;1643;1631;1631;1580
831;774;751;702;683;683;632
2777;2672;2652;2566;2494;2494;1843
863;804;782;782;766;766;715
3848;3767;3745;3745;3698;3698;3647
7980;7720;7698;7601;7507;7507;4000
6506;6288;6228;6131;6037;6037;4830
689;601;574;574;560;560;510
2878;2764;2746;2746;2709;2709;2600
10070;9748;9634;9634;9510;9510;9460
1124;1053;1038;1038;1012;1012;961
15531;14867;14628;14584;13896;13896;13845
1108;1037;1022;1022;996;996;945
6113;5794;5747;5747;5584;5584;5488
4675;4251;4220;4123;4058;4058;2286
1780;1703;1675;1675;1635;1635;1585
1455;1394;1369;1347;1327;1327;1289
10074;9749;9635;9635;9511;9511;9462
4947;4760;4695;4695;4642;4642;4593
1411;1329;1309;1309;1270;1270;1221
4919;4762;4696;4696;4643;4643;4594
5495;5199;5125;5125;4565;4565;4496
3433;2324;2280;2280;2161;2161;2081
5394;5060;5029;5029;4903;4903;4852
6053;5394;5361;5361;5111;5111;5060
762;724;710;710;686;686;584
1313;1260;1242;1242;1216;1216;1167
6280;5330;5301;5140;5025;5025;4970
1718;1607;1556;1556;1492;1492;1253
1895;1815;1769;1769;1672;1672;1648
2696;2595;2560;2560;2542;2542;2520
13588;12150;12100;11762;11698;11698;3654
1656;1582;1552;1552;1515;1515;1473
8545;7623;7530;7530;6919;6919;6879
1656;1582;1552;1552;1515;1515;1473
4686;4262;4232;4130;4065;4065;2290
4686;4261;4231;4132;4067;4067;2293
776;623;600;460;446;446;365
4134;3950;3913;3913;3856;3856;3805
1394;1302;1283;1283;1264;1264;1147
1017;909;882;882;837;837;786
1330;1274;1258;1258;1228;1228;1177
4129;4035;4012;3874;3838;3838;824
1260;1202;1165;1095;1053;1053;966
1694;1617;1586;1567;1242;1242;1173
3835;3193;3170;3092;2958;2958;2905
812;745;727;727;703;703;652
15611;14815;14589;14568;14144;14144;14093
11791;11500;11427;11279;11181;11181;11109
467;410;395;395;382;382;331
662;627;606;466;452;452;371
662;627;606;466;452;452;371
1575;1478;1462;1462;1440;1440;1389
691;615;586;586;571;571;520
1082;988;949;949;936;936;885
676;611;589;589;574;574;523
1080;986;946;946;933;933;882
716;691;676;593;565;565;447
476;454;439;395;383;383;332
1953;1663;1625;1625;1506;1506;1429
968;906;888;888;714;714;635
845;760;745;728;711;711;660
844;759;744;727;709;709;658
1161;1116;1101;1074;1052;1052;1001
3795;3664;3642;3507;3448;3448;3398
4802;4642;4575;4575;4518;4518;4468
9500;9172;9052;9052;8791;8791;8741
32952;32496;32475;32475;32424;32424;32226
2412;2310;2269;2114;2077;2077;2027
877;802;769;769;753;753;703
1565;1488;1458;1414;1393;1393;1343
4116;3942;3907;3907;3842;3842;3792
1000;911;890;890;853;853;803
1006;917;896;896;860;860;810
525;399;378;378;366;366;316
17129;16796;16784;16636;16492;16492;14176
922;879;864;751;734;734;684
22352;22064;22041;22041;21969;21969;21919
1738;1640;1607;1537;1456;1456;1406
3636;3512;3471;3249;3161;3161;3111
891;829;807;807;791;791;741
956;894;872;872;856;856;806
7660;7471;7417;7417;7211;7211;7161
